"","names(dates)","meanages"
"421","837",542
"422","853",912
"423","888",297
"424","916",805
"425","951",938
"426","951",861
"427","951",984
"428","1057",5167
"429","1131",894
"430","1150",338
"431","1162",13436
"432","1217",3198
"433","1217",601
"434","1239",1482
"435","1250",282
"436","1250",363
"437","1250",380
"438","1250",690
"439","1250",690
"440","1250",764
"441","1250",1178
"442","1418",499
"443","1419",4312
"444","1424",601
"445","1424",718
"446","1426",709
"447","1431",3424
"448","1433",1118
"449","1433",972
"450","1433",1041
"451","1446",608
"452","1446",926
"453","1447",385
"454","1447",400
"455","1490",17581
"456","1501",389
"457","1505",597
"458","1544",728
"459","1550",406
"460","1550",811.5
"461","1568",178
"462","1568",297
"463","1568",677
"464","1568",953
"465","1568",3396
"466","1568",1218
"467","1568",3108
"468","1577",1549
"469","1607",1001
"470","1705",541
"471","1705",396
"472","1705",671
"473","1705",557
"474","1705",601
"475","1706",513
"476","1708",3908
"477","1708",4029
"478","1916",308
"479","1916",1046
"480","1917",1040
"481","1917",1066
"482","2107",1062
"483","2111",1767
"484","2178",13370
"485","2178",13403
"486","2269",840
"487","2269",1345
"488","2273",12714
"489","2273",13295
"490","2286",596
"491","2287",212
"492","2289",600
"493","2289",813
"494","2289",534
"495","2309",665
"496","2310",142
"497","2514",1866
"498","2557",1673
"499","2557",1628
"500","2566",3562
"501","2566",3050
"502","2566",1941
"503","2566",1321
"504","2576",3687
"505","2594",295
"506","2891",972
"507","2891",1021
"508","2891",789
"509","3068",599
"510","3068",599
"511","3068",541
"512","3145",1126
"513","3401",12135
"514","3467",373
"515","3558",1451
"516","3581",1832
"517","3609",721
"518","3615",1620
"519","3691",1030
"520","3695",1793
"521","3699",2531
"522","3793",785
"523","3793",2246
"524","3793",3501
"525","3793",3562
"526","3795",911
"527","3817",774
"528","3832",1461
"529","3884",3477
"530","3916",380
"531","3918",936
"532","3981",607
"533","4048",1779
"534","4158",2743
"535","4161",575
"536","4161",797
"537","4178",391
"538","4183",968
"539","4198",430
"540","4204",926
"541","4230",537
"542","4231",481
"543","4232",177
"544","4265",1453
"545","4265",946
"546","4265",709
"547","4265",841
"548","4277",2040
"549","4279",745
"550","4279",774
"551","4280",601
"552","4281",853
"553","4286",3700
"554","4288",1218
"555","4487",4421
"556","4614",4304
"557","4833",9526
"558","4892",13185
"559","5012",13185
"560","48",1469
"561","324",819
"562","448",601
"563","4496",2635
"564","48",6609
"565","48",1845
"566","314",985
"567","314",986
"568","314",985
"569","314",985
"570","314",986
"571","314",985
"572","314",986
"573","314",986
"574","314",985
"575","314",986
"576","13",529
"577","48",1330
"578","108",1256
"579","123",4969
"580","279",601
"581","290",716
"582","290",664
"583","374",1848
"584","393",744
"585","393",812
"586","393",831
"587","393",858
"588","393",861
"589","393",854
"590","393",651
"591","398",852
"592","398",867
"593","398",881
"594","409",732
"595","409",842
"596","409",848
"597","409",955
"598","410",600
"599","425",718
"600","425",705
"601","430",727
"602","430",621
"603","458",525
"604","458",553
"605","481",588
"606","481",602
"607","490",430
"608","499",777
"609","502",738
"610","502",702
"611","503",771
"612","505",762
"613","506",924
"614","507",779
"615","507",707
"616","508",677
"617","513",701
"618","513",607
"619","514",787
"620","515",1362
"621","515",1315
"622","524",983
"623","524",860
"624","524",797
"625","531",941
"626","531",936
"627","531",935
"628","531",931
"629","531",925
"630","531",912.5
"631","531",894
"632","531",855
"633","531",853
"634","531",843
"635","534",1558
"636","534",1431
"637","534",1312
"638","534",1069
"639","576",1207
"640","587",1492
"641","587",3050
"642","596",2182
"643","617",678
"644","927",758
"645","927",1463
"646","994",1752
"647","994",1673
"648","994",1494
"649","994",1468
"650","1001",3521
"651","1001",3986
"652","1069",3954
"653","1208",600
"654","1416",612
"655","1422",124
"656","1422",1464
"657","1568",399
"658","1568",672
"659","1568",779
"660","1568",768
"661","1981",378
"662","2096",2470
"663","2107",1188
"664","2107",1075
"665","2107",1045
"666","2109",954
"667","2109",925
"668","2109",1143
"669","2286",603
"670","2289",561
"671","3550",172
"672","3736",1773
"673","4052",411
"674","4137",169
"675","4164",593
"676","4164",454
"677","4192",384
"678","4192",1296
"679","4192",812
"680","4420",595
"681","4420",598
"682","4420",614
"683","4420",652
"684","4440",6183
"685","4516",1222
"686","5015",3639
"687","48",1243
"688","324",1036
"689","1433",951
"690","448",291
"691","4139",1184
"692","4139",1188
"693","48",3390
"694","448",425
"695","448",650
"696","12",1767
"697","13",5631
"698","13",873
"699","13",384
"700","13",375
"701","13",389
"702","13",167
"703","78",1714
"704","78",1227
"705","89",1148
"706","108",1538
"707","108",2627
"708","108",3988
"709","123",2814
"710","164",2261
"711","164",8037
"712","166",1330
"713","166",1773
"714","208",296
"715","210",3478
"716","218",2854
"717","247",1096
"718","247",859
"719","275",1204
"720","287",594
"721","290",784
"722","291",720
"723","301",854
"724","301",949
"725","301",995
"726","304",609
"727","310",978
"728","311",1116
"729","316",1701
"730","316",1701
"731","316",1702
"732","316",1701
"733","316",1702
"734","316",1701
"735","316",1701
"736","316",1703
"737","316",1701
"738","316",1701
"739","316",1701
"740","316",1701
"741","316",1702
"742","316",1702
"743","316",1702
"744","316",1700
"745","323",821
"746","324",1501
"747","332",177
"748","374",1877
"749","377",1274
"750","393",929
"751","393",706
"752","393",782
"753","405",1481
"754","409",731
"755","409",856
"756","409",1007
"757","409",1045
"758","424",359
"759","425",845
"760","426",723
"761","443",849
"762","443",844
"763","448",596
"764","448",685
"765","450",2163
"766","450",377
"767","450",607
"768","452",401
"769","458",602
"770","458",600
"771","472",838
"772","472",603
"773","472",600
"774","481",691
"775","481",684
"776","487",597
"777","488",1071
"778","490",311
"779","497",870
"780","497",831
"781","497",779
"782","502",744
"783","507",790
"784","508",752
"785","513",616
"786","514",740
"787","520",678
"788","531",834
"789","531",790
"790","534",1200
"791","540",3771
"792","556",1949
"793","556",1560
"794","557",1066
"795","566",12793
"796","574",429
"797","574",389
"798","576",3415
"799","576",2206
"800","580",770
"801","583",1148
"802","587",2075
"803","693",173
"804","732",598
"805","733",778
"806","733",625
"807","733",734
"808","740",2219
"809","740",2576
"810","740",537
"811","782",1663
"812","783",183
"813","837",916
"814","837",1005
"815","837",1588
"816","837",1588
"817","837",542
"818","869",875
"819","916",840
"820","928",2462
"821","942",2464
"822","943",1654
"823","943",1763
"824","947",626
"825","947",692
"826","1001",2854
"827","1001",2853
"828","1001",2853
"829","1039",13663
"830","1044",5155
"831","1069",1386
"832","1069",1468
"833","1076",12763.5
"834","1076",12785
"835","1076",12793
"836","1150",1700
"837","1150",1030
"838","1178",3120
"839","1217",391
"840","1239",1137
"841","1239",1551
"842","1239",1764
"843","1239",1843
"844","1250",845
"845","1250",1118
"846","1250",1889
"847","1343",1451
"848","1343",1611
"849","1351",370
"850","1383",553
"851","1418",688
"852","1418",700
"853","1418",968
"854","1419",594
"855","1419",604
"856","1424",3258
"857","1424",3476
"858","1426",754
"859","1434",693
"860","1435",1429
"861","1447",945
"862","1447",1066
"863","1493",445
"864","1493",403
"865","1509",145
"866","1537",2102
"867","1568",560
"868","1568",1970
"869","1568",2051
"870","1576",4579
"871","1587",1449
"872","1587",2077
"873","1677",1047
"874","1705",400
"875","1709",5314
"876","1709",692
"877","1710",1430
"878","1717",1057.5
"879","1717",577.5
"880","1732",4736
"881","1835",433
"882","1835",3588
"883","1917",854
"884","1917",846
"885","1981",385
"886","2097",388
"887","2102",743
"888","2107",906
"889","2108",934
"890","2108",1158
"891","2108",965
"892","2109",993
"893","2109",880
"894","2109",362
"895","2109",1238
"896","2110",1857
"897","2116",1441
"898","2154",827
"899","2178",12590
"900","2178",12729
"901","2178",12925
"902","2178",13012
"903","2178",12803
"904","2178",13328
"905","2178",10333
"906","2178",10349
"907","2203",2405
"908","2216",2930
"909","2240",13144
"910","2240",13248
"911","2240",461
"912","2242",1537
"913","2262",1343
"914","2269",1126
"915","2299",823
"916","2299",1021
"917","2313",1943
"918","2398",867
"919","2566",3256
"920","2566",2001
"921","2576",1353
"922","2576",2591
"923","2771",1083
"924","2771",6281
"925","2776",3434
"926","2895",2327
"927","2895",2849
"928","2895",3328
"929","2895",3500
"930","2895",4466
"931","2895",4545
"932","2895",4626
"933","2913",4735
"934","2918",561
"935","2918",2534
"936","2946",1645
"937","2950",604
"938","2951",169
"939","2956",537
"940","2978",1084
"941","3068",754
"942","3068",513
"943","3068",221
"944","3068",964
"945","3099",685
"946","3099",2088
"947","3142",11532
"948","3142",12864
"949","3142",13079
"950","3145",12757
"951","3145",3646
"952","3385",1035
"953","3401",8257
"954","3431",1729
"955","3440",1195
"956","3454",1655
"957","3454",1219
"958","3530",11413
"959","3547",14179
"960","3553",1211
"961","3570",174
"962","3579",5399
"963","3586",1416
"964","3587",866
"965","3595",3445
"966","3600",440
"967","3606",2681
"968","3609",955
"969","3615",1912
"970","3627",1028
"971","3637",7359
"972","3674",524
"973","3687",5592
"974","3694",2117
"975","3705",31156
"976","3742",3301
"977","3743",4528
"978","3748",13401
"979","3748",15284
"980","3750",12719
"981","3760",770
"982","3763",1264
"983","3766",951
"984","3793",3199
"985","3793",3744
"986","3795",15997
"987","3797",510
"988","3804",923
"989","3807",561
"990","3810",696
"991","3811",1343
"992","3812",935
"993","3815",1674
"994","3815",1772
"995","3815",1773
"996","3820",1463
"997","3832",514
"998","3832",3414
"999","3840",2053
"1000","3850",599
"1001","3875",1212
"1002","3881",1035
"1003","3887",1117
"1004","3891",5145
"1005","3901",514
"1006","3902",394
"1007","3917",387
"1008","3921",627
"1009","3944",401
"1010","3987",7369
"1011","4003",1551
"1012","4061",13044
"1013","4068",3404
"1014","4074",2222
"1015","4074",2502
"1016","4074",2579
"1017","4074",2583
"1018","4075",4239
"1019","4083",1274
"1020","4083",1773
"1021","4083",1323
"1022","4083",4192
"1023","4107",2427
"1024","4124",1451
"1025","4145",720
"1026","4157",145
"1027","4163",452
"1028","4206",517
"1029","4207",378
"1030","4212",761
"1031","4212",988
"1032","4212",761
"1033","4215",1237
"1034","4223",1367
"1035","4223",2180
"1036","4227",9281
"1037","4230",542
"1038","4230",687
"1039","4230",1306
"1040","4231",9009
"1041","4237",6410
"1042","4244",646
"1043","4246",1234
"1044","4248",503
"1045","4248",461
"1046","4265",1346
"1047","4267",1840
"1048","4277",5094
"1049","4277",3686
"1050","4277",4174
"1051","4278",7162
"1052","4279",754
"1053","4279",612.5
"1054","4279",599
"1055","4284",3677
"1056","4286",2800
"1057","4290",3368
"1058","4291",562
"1059","4296",368
"1060","4402",3519
"1061","4406",13488
"1062","4487",5969
"1063","4488",9568
"1064","4488",9598
"1065","4516",1215
"1066","4714",407
"1067","4715",203
"1068","4715",223.5
"1069","4716",599
"1070","4717",2982
"1071","4717",2029
"1072","4717",2375
"1073","4965",15042
"1074","4981",2726
"1075","5007",18846
"1076","5015",792
"1077","48",3472
"1078","4159",1760
"1079","4159",1859
"1080","4464",3494
"1081","314",1791
"1082","314",1791
