"","names(dates)","meanages"
"1647","1095",2901
"1648","13",8080
"1649","13",1906
"1650","13",1856
"1651","13",601
"1652","20",1624
"1653","63",5398
"1654","66",2592
"1655","67",3208
"1656","67",4278
"1657","67",4882
"1658","78",3079
"1659","78",2344
"1660","78",2926
"1661","100",3040
"1662","123",3973
"1663","227",10618
"1664","287",677
"1665","304",652
"1666","311",1097
"1667","319",1008
"1668","319",1009
"1669","319",1009
"1670","319",1007
"1671","319",1007
"1672","319",1009
"1673","319",1008
"1674","319",1010
"1675","319",1009
"1676","319",1008
"1677","319",1009
"1678","319",1010
"1679","319",1009
"1680","319",1008
"1681","319",1008
"1682","319",1008
"1683","319",1008
"1684","319",1008
"1685","319",1009
"1686","319",1009
"1687","319",1009
"1688","353",1882
"1689","426",751
"1690","430",892
"1691","527",636
"1692","527",531
"1693","529",3895
"1694","531",843
"1695","542",7236
"1696","546",7968
"1697","546",8150
"1698","575",307
"1699","576",6292
"1700","618",425
"1701","732",655
"1702","857",6460
"1703","919",400
"1704","943",1792
"1705","950",1025
"1706","1001",3342
"1707","1034",1378
"1708","1034",1964
"1709","1034",9946
"1710","1034",10021
"1711","1040",620
"1712","1046",12753
"1713","1069",9643
"1714","1069",7541
"1715","1069",8029
"1716","1069",3853
"1717","1422",353
"1718","1422",763
"1719","1522",855
"1720","1597",1157
"1721","1694",4320
"1722","1694",3929
"1723","1954",603
"1724","1954",696
"1725","1954",413
"1726","1980",602
"1727","1980",546
"1728","1989",768
"1729","2022",2657
"1730","2108",892
"1731","2111",1016
"1732","2111",960
"1733","2111",1971
"1734","2111",1699
"1735","2143",682
"1736","2143",495
"1737","2205",17723
"1738","2288",612
"1739","2593",1346
"1740","2593",1090
"1741","2714",776
"1742","2714",1153
"1743","2714",1227
"1744","2714",1219
"1745","2716",4662
"1746","2716",4626
"1747","2718",843
"1748","2718",691
"1749","2719",1471
"1750","2719",1623
"1751","2719",1329
"1752","2720",1312
"1753","2721",1463
"1754","2721",1463
"1755","2727",1793
"1756","2727",1714
"1757","2727",1407
"1758","2727",1638
"1759","2728",2476
"1760","2739",2595
"1761","2739",2864
"1762","2739",2913
"1763","2739",2988
"1764","2752",1772
"1765","2752",4569
"1766","2760",5525
"1767","2795",538
"1768","2820",1526
"1769","2820",869
"1770","2820",803
"1771","3559",678
"1772","3618",607
"1773","3622",743
"1774","3651",735
"1775","3653",666
"1776","3663",1436
"1777","3676",2528
"1778","3737",2913
"1779","3804",1036
"1780","3817",3985
"1781","3820",602
"1782","3850",659
"1783","3860",873
"1784","3863",376
"1785","3889",3989
"1786","3895",922
"1787","3906",4229
"1788","3938",409
"1789","4108",178
"1790","4112",1657
"1791","4126",407
"1792","4126",427
"1793","4127",3945
"1794","4137",289
"1795","4138",1802
"1796","4254",722
"1797","4266",590
"1798","4289",452
"1799","4292",582
"1800","4402",12686
"1801","4402",11192
"1802","4514",695
"1803","48",5644
"1804","317",432
"1805","1674",4646
"1806","48",8781
"1807","229",1730
"1808","13",12219
"1809","13",7337
"1810","13",8851
"1811","13",9065
"1812","13",10325
"1813","13",4359
"1814","13",12986
"1815","20",2068
"1816","27",934
"1817","65",6964
"1818","70",9958
"1819","78",3273
"1820","78",2920
"1821","78",2979
"1822","78",644
"1823","104",4430
"1824","110",717
"1825","110",718
"1826","110",636
"1827","117",746
"1828","117",4193
"1829","122",1600
"1830","123",5003
"1831","123",3785
"1832","151",582
"1833","151",583
"1834","161",3667
"1835","162",8997
"1836","164",4017
"1837","164",6505
"1838","164",7063
"1839","164",9228
"1840","164",9280
"1841","220",3377
"1842","231",4447
"1843","234",1054
"1844","240",2411
"1845","261",4432
"1846","311",1192
"1847","311",1906
"1848","311",1906
"1849","312",2974
"1850","316",1804
"1851","316",1804
"1852","316",1804
"1853","316",1804
"1854","316",1805
"1855","316",1804
"1856","316",1804
"1857","316",1803
"1858","316",1805
"1859","316",1803
"1860","316",1803
"1861","316",1804
"1862","316",1805
"1863","316",1805
"1864","316",1804
"1865","316",1803
"1866","327",1360
"1867","329",1360
"1868","329",834
"1869","337",786
"1870","337",945
"1871","337",837
"1872","344",1851
"1873","344",1876
"1874","345",969
"1875","352",1325
"1876","374",5003
"1877","397",830
"1878","418",365
"1879","424",576
"1880","442",842
"1881","444",1192
"1882","450",2326
"1883","452",626
"1884","472",2876
"1885","486",678
"1886","488",934
"1887","522",5327
"1888","526",470
"1889","527",749
"1890","527",644
"1891","527",934
"1892","527",398
"1893","527",607
"1894","527",775
"1895","527",613
"1896","527",610
"1897","542",6279
"1898","546",8406
"1899","546",8548
"1900","557",4979
"1901","573",1565
"1902","574",946
"1903","575",611
"1904","575",704
"1905","575",635
"1906","583",3489
"1907","588",12805
"1908","588",13105
"1909","628",1023
"1910","631",832
"1911","631",598
"1912","643",9831
"1913","654",13346
"1914","678",2749
"1915","679",4277
"1916","686",2772
"1917","733",387
"1918","735",583
"1919","740",2621
"1920","743",2259
"1921","743",827
"1922","743",754
"1923","792",1889
"1924","803",2524
"1925","815",1459
"1926","824",1184
"1927","824",1107
"1928","824",763
"1929","835",1342
"1930","855",803
"1931","857",5465
"1932","869",1195
"1933","869",1600
"1934","869",1911
"1935","953",3742
"1936","953",2183
"1937","953",5027
"1938","994",1537
"1939","1001",3576
"1940","1001",3617
"1941","1001",1577
"1942","1001",1577
"1943","1001",1577
"1944","1001",5732
"1945","1001",6283
"1946","1034",408
"1947","1034",2606
"1948","1034",2843
"1949","1034",8774
"1950","1044",2942
"1951","1048",3067
"1952","1048",1432
"1953","1048",1738
"1954","1048",515
"1955","1056",2535
"1956","1060",2067
"1957","1066",3351
"1958","1069",10003
"1959","1069",7663
"1960","1069",3563
"1961","1076",24553
"1962","1099",5768
"1963","1146",1851
"1964","1146",1324
"1965","1146",1739
"1966","1166",4336
"1967","1209",165
"1968","1236",12523
"1969","1239",147
"1970","1239",3648
"1971","1251",1271
"1972","1335",10140
"1973","1416",2826
"1974","1417",3522
"1975","1417",3379
"1976","1417",3066
"1977","1418",4462
"1978","1424",2238.5
"1979","1425",4719
"1980","1425",4790
"1981","1426",198
"1982","1426",1040
"1983","1426",530
"1984","1426",3855
"1985","1432",391
"1986","1434",227
"1987","1434",645
"1988","1434",837
"1989","1434",561
"1990","1446",710
"1991","1504",8075
"1992","1509",1331
"1993","1523",407
"1994","1537",2462
"1995","1537",2581
"1996","1552",762
"1997","1555",790
"1998","1568",1016
"1999","1596",2567
"2000","1596",7354
"2001","1602",3055
"2002","1605",7515
"2003","1605",6299
"2004","1659",15647
"2005","1677",789
"2006","1681",426
"2007","1681",433
"2008","1682",1167
"2009","1683",3933
"2010","1683",3991
"2011","1683",4042
"2012","1683",4132
"2013","1694",4597
"2014","1694",4315
"2015","1694",4584
"2016","1706",745
"2017","1708",4040
"2018","1708",4002
"2019","1717",859
"2020","1717",955
"2021","1717",1083
"2022","1717",1204
"2023","1732",7006
"2024","1789",14148
"2025","1835",3782
"2026","1835",800
"2027","1916",1081
"2028","1917",954
"2029","1918",512
"2030","1979",729
"2031","1980",694
"2032","1980",597
"2033","1980",593
"2034","1980",584
"2035","1983",1434
"2036","1988",159
"2037","2063",6649
"2038","2111",1715
"2039","2111",1528
"2040","2112",8367
"2041","2178",12649
"2042","2178",15752
"2043","2178",12725
"2044","2180",5136
"2045","2180",5146
"2046","2205",16724
"2047","2207",921
"2048","2207",644
"2049","2210",530
"2050","2217",727
"2051","2217",1625
"2052","2220",5458
"2053","2226",1741
"2054","2226",1675
"2055","2226",1407
"2056","2226",2241
"2057","2226",1578
"2058","2265",1298
"2059","2266",1452
"2060","2268",714
"2061","2269",1278
"2062","2269",765
"2063","2269",1490
"2064","2269",872
"2065","2273",13228
"2066","2273",12615
"2067","2273",12975
"2068","2311",4314
"2069","2311",1408
"2070","2313",432
"2071","2406",866
"2072","2514",1844
"2073","2566",7733
"2074","2566",7918
"2075","2566",8102
"2076","2566",8299
"2077","2566",1843
"2078","2566",2365
"2079","2576",2389
"2080","2576",3803
"2081","2588",1115
"2082","2593",1617
"2083","2597",1248
"2084","2621",12573
"2085","2716",4571
"2086","2719",1307
"2087","2721",1563
"2088","2728",2295
"2089","2752",7643
"2090","2758",1791
"2091","2760",5483
"2092","2771",2596
"2093","2771",3599
"2094","2771",3168
"2095","2800",8855
"2096","2800",9216
"2097","2800",7422
"2098","2800",5513
"2099","2800",4627
"2100","2800",6382
"2101","2820",1612
"2102","2891",12238
"2103","2895",5783
"2104","2913",7007
"2105","2918",2180
"2106","2918",2580
"2107","2918",2624
"2108","2918",6677
"2109","2946",1291.5
"2110","2978",294
"2111","2988",814
"2112","3068",162
"2113","3068",812
"2114","3068",500
"2115","3145",12205
"2116","3145",9513
"2117","3427",2802
"2118","3446",507
"2119","3453",2559
"2120","3454",655
"2121","3454",1146
"2122","3454",1090
"2123","3509",307
"2124","3553",2414
"2125","3555",840
"2126","3558",1820
"2127","3561",1815
"2128","3563",2442
"2129","3572",3616
"2130","3584",1107
"2131","3585",451
"2132","3587",1264
"2133","3604",603
"2134","3605",2581
"2135","3630",666
"2136","3638",851
"2137","3638",777
"2138","3640",704
"2139","3644",787
"2140","3645",778
"2141","3646",814
"2142","3648",696
"2143","3654",2080
"2144","3655",3205
"2145","3658",1200
"2146","3659",458
"2147","3660",969
"2148","3668",607
"2149","3669",5694
"2150","3671",695
"2151","3683",908
"2152","3688",1936
"2153","3692",538
"2154","3707",5623
"2155","3710",746
"2156","3715",13304
"2157","3792",587
"2158","3803",538
"2159","3803",1342
"2160","3806",805
"2161","3810",769
"2162","3818",932
"2163","3820",1196
"2164","3837",493
"2165","3842",1590
"2166","3848",2772
"2167","3850",631
"2168","3855",1297
"2169","3857",8299
"2170","3858",2035
"2171","3859",5345
"2172","3861",1106
"2173","3862",4131
"2174","3864",969
"2175","3869",4429
"2176","3879",2949
"2177","3889",3752
"2178","3889",3744
"2179","3889",4850
"2180","3898",3245
"2181","3906",3909
"2182","3906",4473
"2183","3918",297
"2184","3922",396
"2185","3924",1131
"2186","3931",2804
"2187","3938",604
"2188","3940",522
"2189","3940",828
"2190","3947",1480
"2191","3947",503
"2192","3956",554
"2193","3965",862
"2194","3965",493
"2195","3968",390
"2196","3973",1290
"2197","3993",3177
"2198","3996",1936
"2199","3996",1973
"2200","4003",934
"2201","4003",1019
"2202","4018",2409
"2203","4022",7586
"2204","4026",4447
"2205","4033",11164
"2206","4034",573
"2207","4038",1578
"2208","4040",27787
"2209","4045",2937
"2210","4076",654
"2211","4083",139
"2212","4088",2545
"2213","4088",1526
"2214","4091",1647
"2215","4092",704
"2216","4092",944
"2217","4092",721
"2218","4093",729
"2219","4097",641
"2220","4099",530
"2221","4114",1077
"2222","4116",6842
"2223","4116",8468
"2224","4121",1003
"2225","4122",1418
"2226","4125",430
"2227","4131",822
"2228","4134",272
"2229","4135",627
"2230","4137",663
"2231","4138",1505
"2232","4144",1473
"2233","4145",1116
"2234","4157",2451
"2235","4159",2440
"2236","4160",418
"2237","4175",655
"2238","4188",1360
"2239","4191",8854
"2240","4221",411
"2241","4221",677
"2242","4221",333
"2243","4222",611
"2244","4222",600
"2245","4230",1356
"2246","4235",4301
"2247","4235",4446
"2248","4235",4392
"2249","4236",3375
"2250","4245",1431
"2251","4245",1235
"2252","4247",1759
"2253","4258",4587
"2254","4260",5146
"2255","4265",973
"2256","4289",821
"2257","4388",9204
"2258","4404",13344
"2259","4404",13344
"2260","4406",8239
"2261","4406",11954
"2262","4410",12847
"2263","4462",1208
"2264","4472",21201
"2265","4486",13468
"2266","4490",1499
"2267","4492",1457
"2268","4505",1377
"2269","4508",10275
"2270","4715",278
"2271","4929",8835
"2272","5006",9258
"2273","11",10089.5
"2274","324",1440
"2275","3145",13112
"2276","20",3809
"2277","31",2247
"2278","78",4437
"2279","78",4480
"2280","78",5530
"2281","78",3257
"2282","175",12621
"2283","227",11302
"2284","312",2587
"2285","316",1741
"2286","316",1740
"2287","316",1740
"2288","316",1740
"2289","316",1740
"2290","316",1739
"2291","316",1740.5
"2292","316",1741
"2293","316",1742
"2294","316",1741
"2295","316",1740
"2296","316",1741
"2297","316",1741
"2298","316",1742
"2299","316",1741
"2300","316",1740
"2301","389",357
"2302","452",2463
"2303","452",3329
"2304","452",3839
"2305","487",591
"2306","538",521
"2307","779",1926
"2308","820",662
"2309","833",4018
"2310","835",938
"2311","857",4479
"2312","1001",3849
"2313","1034",7925
"2314","1034",7681
"2315","1153",5052
"2316","1153",3604
"2317","1153",7907
"2318","1416",3108
"2319","1416",2296
"2320","1425",4753
"2321","1605",7544
"2322","1606",1905
"2323","1674",6484
"2324","1682",4520
"2325","1694",4320
"2326","1694",4652
"2327","1694",4438
"2328","1694",4178
"2329","2007",369
"2330","2310",490
"2331","2611",318
"2332","2912",3963
"2333","3145",13061
"2334","3145",11846
"2335","3145",9146
"2336","3145",7068
"2337","3654",2559
"2338","3666",3673
"2339","3728",1373
"2340","3736",2581
"2341","3821",2342
"2342","3865",1144
"2343","3890",4911
"2344","3891",605
"2345","3905",422
"2346","3905",1166
"2347","3906",4871
"2348","3937",1023
"2349","4086",2601
"2350","4091",1055
"2351","4096",1126
"2352","4097",589
"2353","4109",1344
"2354","4166",390
"2355","4168",390
"2356","4369",12974
"2357","4486",12830
"2358","4930",12692
"2359","1933",12824
"2360","546",8298
"2361","7",571
"2362","13",9599
"2363","13",10932
"2364","27",821
"2365","27",774
"2366","66",3816
"2367","70",11752
"2368","78",4140
"2369","78",3301
"2370","78",2304
"2371","117",1900
"2372","117",1815
"2373","117",6140
"2374","119",4707
"2375","164",7138
"2376","164",7781
"2377","164",10283
"2378","170",1566
"2379","175",12540
"2380","184",197
"2381","185",5641
"2382","213",5033
"2383","233",1370
"2384","240",7385
"2385","240",4116
"2386","247",2968
"2387","247",2711
"2388","258",3704.5
"2389","304",544
"2390","311",2486
"2391","311",1517
"2392","312",4554
"2393","312",1888
"2394","314",1391
"2395","314",1391
"2396","314",1391
"2397","314",1392
"2398","314",1392
"2399","314",1391
"2400","314",1391
"2401","314",1392
"2402","314",1390
"2403","314",1390
"2404","351",1253
"2405","351",788
"2406","352",238
"2407","374",1508
"2408","374",1753
"2409","377",1509
"2410","379",593
"2411","395",519
"2412","395",593
"2413","395",596
"2414","397",823
"2415","397",848
"2416","406",1613
"2417","406",1654
"2418","423",366
"2419","423",412
"2420","423",478
"2421","423",478
"2422","424",1070
"2423","452",2865
"2424","452",3263
"2425","452",3369
"2426","466",501
"2427","481",758
"2428","488",1713
"2429","488",1274
"2430","488",864
"2431","501",665
"2432","522",6675
"2433","526",679
"2434","526",644
"2435","527",604
"2436","530",1363
"2437","537",620
"2438","537",386
"2439","538",384
"2440","538",304
"2441","542",10504
"2442","546",7224
"2443","547",1449
"2444","557",1854
"2445","563",10008
"2446","567",10234
"2447","569",392
"2448","577",2208
"2449","577",1492
"2450","582",7245
"2451","583",1334
"2452","583",2808
"2453","630",677
"2454","633",1168
"2455","641",1527
"2456","643",10287
"2457","686",2977
"2458","854",13458
"2459","888",127
"2460","888",311
"2461","908",3387
"2462","908",3705
"2463","917",591
"2464","919",397
"2465","947",1007
"2466","953",3716.5
"2467","953",2183
"2468","953",2219
"2469","953",1334
"2470","953",841
"2471","953",4986
"2472","953",4524
"2473","1001",1974
"2474","1001",1641
"2475","1001",1468
"2476","1001",2267
"2477","1001",1972
"2478","1001",1642
"2479","1001",1469
"2480","1001",2269
"2481","1001",1973
"2482","1001",1642
"2483","1001",1468
"2484","1001",2270
"2485","1001",514
"2486","1001",566
"2487","1001",600
"2488","1001",689
"2489","1001",915
"2490","1001",6176
"2491","1001",3029
"2492","1001",3362
"2493","1066",4088
"2494","1076",24941
"2495","1130",6028
"2496","1134",3706
"2497","1150",9245
"2498","1153",5725
"2499","1190",1335
"2500","1190",1530
"2501","1239",1361
"2502","1239",1400
"2503","1251",1441
"2504","1251",1408
"2505","1396",1317
"2506","1406",3162
"2507","1406",12642
"2508","1408",3524
"2509","1416",2035
"2510","1417",3260
"2511","1417",3150
"2512","1418",1468
"2513","1422",3178
"2514","1424",2841
"2515","1424",2796
"2516","1424",2762
"2517","1426",3789
"2518","1426",2914
"2519","1431",3526
"2520","1432",355
"2521","1447",774
"2522","1451",1248
"2523","1474",1529
"2524","1492",591
"2525","1545",1223
"2526","1545",681
"2527","1550",775
"2528","1552",783
"2529","1552",1211
"2530","1552",848
"2531","1552",796
"2532","1552",717
"2533","1552",596
"2534","1568",482
"2535","1568",461
"2536","1576",13620
"2537","1576",14137
"2538","1576",13593
"2539","1677",1933
"2540","1681",7592
"2541","1683",4109
"2542","1694",4820
"2543","1708",3947
"2544","1835",3293
"2545","1916",532
"2546","1916",543
"2547","1917",1293
"2548","1933",12660
"2549","1983",708
"2550","1988",721
"2551","1989",518
"2552","2045",20954
"2553","2112",8472
"2554","2143",462
"2555","2178",13440
"2556","2222",872
"2557","2235",9999
"2558","2240",2569
"2559","2240",3415
"2560","2242",1185
"2561","2269",1269
"2562","2280",1028
"2563","2283",1115
"2564","2311",5434
"2565","2311",4447
"2566","2311",3260
"2567","2313",4433
"2568","2406",842
"2569","2514",1853
"2570","2566",8416
"2571","2566",8525
"2572","2566",8676
"2573","2588",880
"2574","2588",821
"2575","2611",1540
"2576","2719",1760
"2577","2721",1456
"2578","2721",1347
"2579","2752",6457
"2580","2752",6949
"2581","2752",4349
"2582","2758",1590
"2583","2771",1876
"2584","2771",4434
"2585","2776",2145
"2586","2800",8083
"2587","2800",4923
"2588","2829",4645
"2589","2850",646
"2590","2862",13015
"2591","2888",12711
"2592","2895",3011
"2593","2895",3080
"2594","2912",4916
"2595","2912",5745
"2596","2918",3292
"2597","2918",2782
"2598","2918",3024
"2599","2946",1291
"2600","2962",2084
"2601","2991",1107
"2602","3145",9809
"2603","3431",655
"2604","3505",2634
"2605","3506",2878
"2606","3516",1740
"2607","3553",1726
"2608","3555",456
"2609","3572",4031
"2610","3580",1005
"2611","3589",12710
"2612","3600",594
"2613","3641",822
"2614","3642",922
"2615","3656",438
"2616","3657",4162
"2617","3663",4350
"2618","3665",1212
"2619","3670",4047
"2620","3684",1948
"2621","3690",680
"2622","3693",843
"2623","3730",193
"2624","3736",2582
"2625","3749",27151
"2626","3763",1384
"2627","3788",199
"2628","3814",958
"2629","3819",6964
"2630","3821",608
"2631","3825",1259
"2632","3835",3786
"2633","3841",6071
"2634","3850",224
"2635","3850",711
"2636","3862",7816
"2637","3868",2549
"2638","3882",4625
"2639","3889",5753
"2640","3893",4542
"2641","3899",934
"2642","3905",2565
"2643","3906",4230
"2644","3906",5505
"2645","3917",472
"2646","3919",1363
"2647","3928",455
"2648","3930",215.5
"2649","3931",1837
"2650","3939",2588
"2651","3945",4724
"2652","3945",4967
"2653","3946",1434
"2654","3946",1887
"2655","3947",513
"2656","3947",920
"2657","3947",2034
"2658","3947",1501
"2659","3948",2656
"2660","3950",1964
"2661","3951",1494
"2662","3952",3308
"2663","3952",138
"2664","3954",1601
"2665","3954",850
"2666","3956",721
"2667","3957",3908
"2668","3957",1791
"2669","3958",1115
"2670","3958",2577
"2671","3959",1679
"2672","3959",740
"2673","3959",750
"2674","3959",995
"2675","3959",1353
"2676","3959",857
"2677","3959",1297
"2678","3959",2533
"2679","3960",379
"2680","3961",1436
"2681","3962",316
"2682","3962",545
"2683","3963",2443
"2684","3963",2576
"2685","3963",2657
"2686","3965",538
"2687","3965",545
"2688","3965",306
"2689","3966",2106
"2690","3968",686
"2691","3982",608
"2692","3983",1445
"2693","3983",1453
"2694","3985",2603
"2695","3993",2844
"2696","3995",1308
"2697","3997",478
"2698","3998",180
"2699","3999",375
"2700","3999",552
"2701","4000",631
"2702","4019",183
"2703","4029",3470
"2704","4030",501
"2705","4034",401
"2706","4034",779
"2707","4038",1539
"2708","4038",1589
"2709","4042",2883
"2710","4045",1097
"2711","4045",737
"2712","4065",2221
"2713","4067",164
"2714","4075",605
"2715","4079",698
"2716","4084",1813
"2717","4084",2158
"2718","4084",1317
"2719","4085",994
"2720","4088",3378
"2721","4088",3321.5
"2722","4088",2299
"2723","4089",8226
"2724","4089",1737
"2725","4091",1648
"2726","4093",493
"2727","4093",821
"2728","4095",546
"2729","4095",547
"2730","4106",4715
"2731","4106",4956
"2732","4110",6174
"2733","4113",6309
"2734","4116",9417
"2735","4121",1418
"2736","4121",1481
"2737","4122",836
"2738","4134",401
"2739","4138",1607
"2740","4153",921
"2741","4167",694
"2742","4169",654
"2743","4174",528
"2744","4174",724
"2745","4182",190
"2746","4185",207
"2747","4187",2850
"2748","4189",219
"2749","4193",10817
"2750","4194",209
"2751","4197",348
"2752","4217",528
"2753","4219",10363
"2754","4221",408
"2755","4221",550
"2756","4221",661
"2757","4222",610
"2758","4222",493
"2759","4230",1329
"2760","4234",2492
"2761","4235",4631
"2762","4235",4849
"2763","4243",1737
"2764","4245",1243
"2765","4245",1107
"2766","4246",761
"2767","4246",1839
"2768","4246",992
"2769","4246",1274
"2770","4253",3798
"2771","4259",3818
"2772","4261",4021
"2773","4262",4192
"2774","4273",3109
"2775","4368",5885
"2776","4404",12921
"2777","4404",12922
"2778","4410",12994
"2779","4414",3424
"2780","4414",3488.5
"2781","4421",871
"2782","4421",1159
"2783","4486",12472
"2784","4487",13128
"2785","4497",500
"2786","4500",20953
"2787","4509",511
"2788","4510",636
"2789","4715",494
"2790","4715",202
"2791","4716",577
"2792","4717",2501
"2793","4929",11816
"2794","5006",10393
"2795","5008",22343
"2796","3599",663
"2797","5",13561
"2798","13",7575
"2799","13",5745
"2800","78",3432
"2801","117",2203
"2802","123",5181
"2803","175",13525
"2804","258",3523
"2805","311",1474
"2806","311",2057
"2807","335",1153
"2808","340",1777
"2809","357",5573
"2810","389",435
"2811","406",1614
"2812","481",600
"2813","481",603
"2814","504",1007
"2815","511",874
"2816","533",681
"2817","533",607
"2818","533",566
"2819","538",507
"2820","576",10394
"2821","742",1177
"2822","779",1869
"2823","779",1206
"2824","808",12937
"2825","863",1029
"2826","1001",5594
"2827","1034",1061
"2828","1034",9980
"2829","1034",10801
"2830","1153",3818
"2831","1239",541
"2832","1401",13707
"2833","1425",4395
"2834","2111",1739
"2835","2210",609
"2836","2593",1234
"2837","2593",1431
"2838","2593",1934
"2839","2912",4072
"2840","3583",1408
"2841","3722",1262
"2842","3814",969
"2843","3820",2850
"2844","3836",2061
"2845","3867",3480
"2846","3870",7474
"2847","3872",676
"2848","3899",802
"2849","3906",4423
"2850","3933",286
"2851","3935",348
"2852","4007",2847
"2853","4028",2881
"2854","4081",1047
"2855","4081",419
"2856","4081",742
"2857","4131",2501
"2858","4131",2134
"2859","4148",4179
"2860","4171",559
"2861","4171",803
"2862","4173",526
"2863","4214",813
"2864","4260",4264
"2865","4294",351
"2866","4403",11504
"2867","4487",1942
"2868","5008",13942
"2869","1917",721
"2870","6",6048
"2871","13",12508
"2872","13",8691
"2873","13",10935
"2874","13",11448
"2875","13",10230
"2876","13",11211
"2877","13",6342
"2878","13",461
"2879","13",12986
"2880","27",1061
"2881","27",860
"2882","27",774
"2883","27",598
"2884","34",12081
"2885","72",604.5
"2886","73",772
"2887","78",602
"2888","81",542
"2889","82",285
"2890","112",355
"2891","116",17890
"2892","122",2575
"2893","164",7610
"2894","164",8307
"2895","170",1725
"2896","172",215.5
"2897","172",326
"2898","193",899
"2899","193",1097
"2900","220",3177
"2901","240",2185
"2902","240",2238
"2903","240",1065
"2904","242",298
"2905","244",526
"2906","257",1566
"2907","268",700
"2908","268",624
"2909","280",143
"2910","311",1577
"2911","317",599
"2912","336",1809
"2913","352",600
"2914","358",1602
"2915","358",1531
"2916","376",1901
"2917","379",569
"2918","379",1274
"2919","379",2080
"2920","389",516
"2921","397",843
"2922","397",878
"2923","402",734
"2924","406",2170
"2925","414",567
"2926","418",679
"2927","443",537
"2928","451",444
"2929","451",591
"2930","466",553
"2931","481",739
"2932","486",602
"2933","501",852
"2934","504",648
"2935","522",6225
"2936","527",596
"2937","546",8191
"2938","546",8291
"2939","557",4016
"2940","568",5789
"2941","569",1724
"2942","574",198
"2943","580",524
"2944","588",7620.5
"2945","632",911
"2946","642",10608
"2947","643",9383
"2948","686",735
"2949","686",3042
"2950","707",9662
"2951","707",9578
"2952","708",1219
"2953","723",768
"2954","733",388
"2955","735",1013
"2956","735",181
"2957","745",875
"2958","746",8396
"2959","777",885
"2960","779",1045
"2961","783",510
"2962","792",1293
"2963","796",579
"2964","813",1147
"2965","834",557
"2966","857",7469
"2967","864",1165
"2968","908",3228
"2969","930",1038
"2970","953",3232
"2971","953",2393
"2972","953",1443
"2973","953",4817
"2974","953",4584
"2975","1001",5819
"2976","1001",4029
"2977","1001",4030
"2978","1001",4030
"2979","1020",9877
"2980","1034",7449
"2981","1034",8709
"2982","1039",10036
"2983","1040",11441.5
"2984","1040",9511
"2985","1040",1486
"2986","1046",8397
"2987","1046",8453
"2988","1048",2715
"2989","1048",5139
"2990","1048",1137
"2991","1048",4431
"2992","1048",8074
"2993","1048",7333
"2994","1048",6795
"2995","1048",5326
"2996","1055",14859
"2997","1056",4621
"2998","1064",5092
"2999","1067",4919
"3000","1068",4907
"3001","1133",3657
"3002","1136",8386
"3003","1171",1681
"3004","1179",8478
"3005","1206",9465
"3006","1216",12293
"3007","1236",12080
"3008","1239",3612
"3009","1250",2390
"3010","1250",2757
"3011","1250",3384
"3012","1250",4322
"3013","1251",968
"3014","1251",922
"3015","1251",1260
"3016","1251",967
"3017","1334",9536
"3018","1353",1681
"3019","1396",1503
"3020","1406",8886
"3021","1411",1229
"3022","1416",2403
"3023","1419",4505
"3024","1424",2550
"3025","1424",2865
"3026","1425",5066
"3027","1425",4313
"3028","1426",3346.5
"3029","1428",3135
"3030","1428",817
"3031","1428",801
"3032","1429",246
"3033","1429",971
"3034","1429",850
"3035","1429",2074
"3036","1447",6806
"3037","1492",389
"3038","1499",584
"3039","1522",3118
"3040","1522",3603
"3041","1525",1089
"3042","1525",850
"3043","1525",995
"3044","1525",1185
"3045","1529",1401
"3046","1537",636
"3047","1537",2017
"3048","1537",2313
"3049","1568",499
"3050","1568",2093
"3051","1576",10692
"3052","1606",4414
"3053","1680",3211
"3054","1681",1076
"3055","1682",2524
"3056","1683",3991
"3057","1683",4071
"3058","1683",4264
"3059","1683",4324
"3060","1694",4309
"3061","1898",327
"3062","1916",543
"3063","1916",661
"3064","1985",792
"3065","2024",751
"3066","2024",828
"3067","2037",12265
"3068","2112",9352
"3069","2120",5734
"3070","2120",1739
"3071","2120",5734
"3072","2178",15291
"3073","2205",13911
"3074","2205",15890
"3075","2205",16073
"3076","2211",575
"3077","2212",764
"3078","2212",710
"3079","2214",783
"3080","2218",4298
"3081","2218",374
"3082","2240",13096
"3083","2240",1359
"3084","2244",248
"3085","2245",3775
"3086","2245",3909
"3087","2246",1782
"3088","2262",1526
"3089","2269",603
"3090","2274",10463
"3091","2274",13934
"3092","2299",1660
"3093","2311",6723
"3094","2311",5131
"3095","2313",4514
"3096","2396",5071
"3097","2554",1530
"3098","2554",1532
"3099","2554",1462
"3100","2558",749
"3101","2566",8006
"3102","2566",2237
"3103","2576",973
"3104","2576",1854
"3105","2586",402
"3106","2586",1128
"3107","2593",1734
"3108","2596",835
"3109","2621",13920
"3110","2621",16288
"3111","2716",4507
"3112","2716",4570.5
"3113","2716",4640
"3114","2720",1307
"3115","2724",946
"3116","2726",2107
"3117","2752",6119
"3118","2752",7516
"3119","2758",4687
"3120","2758",4651.5
"3121","2776",3357
"3122","2794",15724
"3123","2800",9359
"3124","2830",17108
"3125","2830",13695
"3126","2886",17959
"3127","2895",3311
"3128","2895",3600
"3129","2912",6128
"3130","2918",1864
"3131","3138",10367
"3132","3440",966
"3133","3471",6019
"3134","3509",5853
"3135","3510",15415
